price,expenses,address,size,bedrooms,bathrooms,url,listing_url
Consultar Precio,84000,"Av Quintana  y Parera Categoria Super Luminoso Sup 104 m2
                ",N/A,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14763818
1800000,200000,"Montevideo 1700, Piso 5
                ",233,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14781408
Consultar Precio,N/A,"Ayacucho y Guido Edificio francés de categoria Sup 174 m2
                ",158,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-7-ambientes--14782700
2600000,130000,"TAGLE AL 2500
                ",187,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14786759
Consultar Precio,91200,"Av alvear al 1800
                ",87,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14824187
Consultar Precio,300000,"Manuel Quintana  al 500
                ",N/A,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14835224
Consultar Precio,112000,"AV LAS HERAS 3100, Piso 10
                ",109,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14848385
Consultar Precio,N/A,"Av Callao y Pacheco de Melo
                ",240,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--13082373
Consultar Precio,150000,"Av Callao y Juncal
                ",180,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--13248833
Consultar Precio,N/A,"Av Las Heras 2000
                ",110,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--13435032
1190000,N/A,"BASAVILVASO  al 1200
                ",200,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14747807
1190000,N/A,"BASAVILVASO  al 1200
                ",200,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14747808
Consultar Precio,N/A,"BASAVILVASO  al 1200
                ",200,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12887442
Consultar Precio,N/A,"Carlos Pellegrini al 1300
                ",235,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--14865045
