website,price,expenses,address,size,bedrooms,bathrooms,url,listing_url
https://www.zonaprop.com.ar,$ 5.500.000,$ 350.000,Guatemala al 5100,335,4,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/alquiler-torre-bella-5-amb-en-piso-35-335-m-a-52636584.html
https://www.zonaprop.com.ar,Consultar precio,,Alvear al 1300,430,4,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/departamento-recoleta-50602833.html
https://www.zonaprop.com.ar,Consultar precio,,Azucena Villaflor al 500,435,4,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/venta-exclusivo-5-ambientes-en-alvear-tower-con-51274300.html
https://www.zonaprop.com.ar,Consultar precio,,Migueletes al 1100,365,4,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/excelente-piso-en-torre-con-amenities-y-cuatro-51754229.html
https://www.zonaprop.com.ar,$ 10.000.000,,Castaneda al 2000,290,3,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/excelente-departamento-forum-alcorta.-piso-alto.-52801084.html
https://www.zonaprop.com.ar,$ 2.325.000,,Migueletes al 1600,169,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/departamento-belgrano-chico-52641259.html
https://www.zonaprop.com.ar,Consultar precio,,"Alquiler 5 Ambientes + Dependencia, Torres DEL Yacht - Puerto Madero",230,4,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/alquiler-5-ambientes-ideal-embajadores-torres-del-52686027.html
https://www.zonaprop.com.ar,$ 550.000,$ 30.000,Acuña de Figueroa  al 700,100,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/alquiler-temporal-6-meses-enorme-4-amb-mas-52838648.html
https://www.zonaprop.com.ar,Consultar precio,,Virrey Olaguer y Feliu,132,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/departamentos-a-estrenar-52800422.html
https://www.zonaprop.com.ar,Consultar precio,$ 167.000,Departamento en Alquiler Amoblado - Juncal 750,380,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/departamento-en-alquiler-amoblado-juncal-750-52708425.html
https://www.zonaprop.com.ar,$ 2.000.000,,Virrey del Pino  al 2100,185,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/excelente-departamento-4-amb.-con-dep.-en-belgrano-52801072.html
https://www.zonaprop.com.ar,$ 3.700.000,,Guatemala y Godoy Cruz,236,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/4amb-dep.-en-torre-bella-balcon-terraza-52835446.html
https://www.zonaprop.com.ar,$ 3.900.000,,Guatemala y Godoy Cruz,236,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/4amb-dep.-en-torre-bella-balcon-terraza-52835386.html
https://www.zonaprop.com.ar,$ 4.900.000,$ 150.000,Guatemala 5100,235,3,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/departamento-en-alquiler-en-palermo-soho-capital-52779995.html
https://www.zonaprop.com.ar,Consultar precio,$ 230.000,Sucre al 2900,220,3,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/departamento-belgrano-52510951.html
https://www.zonaprop.com.ar,Consultar precio,,Av. Figueroa Alcorta  al 3000,260,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/alquiler-palermo-chico-edificio-grand-bourg-retasado-52282167.html
https://www.zonaprop.com.ar,$ 700.000,$ 30.000,Fonrouge 200,97,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/alquiler-4-ambientes-premium-sum-sauna-departamento-50957809.html
https://www.zonaprop.com.ar,$ 1.111.111,,Guatemala  al 5100,220,3,not found,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/departamento-en-guatemala-5100-52561900.html
https://www.zonaprop.com.ar,Consultar precio,,Coronel Diaz al 2500,266,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/venta-palermo-52758651.html
https://www.zonaprop.com.ar,Consultar precio,$ 190.000,Lafinur 3200,155,3,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/piso-alquiler-palermo-chico-4-amb-cochera-vigilancia-52815340.html
https://www.zonaprop.com.ar,$ 8.400.000,,Av. Libertador  al 7000,400,3,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/departamento-con-gran-terraza-chateau-libertador-52801080.html
https://www.zonaprop.com.ar,Consultar precio,$ 494.000,Alvear Tower Azucena Villaflor al 500,262,3,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/departamento-puerto-madero-52838127.html
https://www.zonaprop.com.ar,$ 995.000,,Lope De Vega  400 2°,114,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/semi-piso-a-estrenar-4-ambientes-2-cocheras-51691480.html
https://www.zonaprop.com.ar,$ 2.500.000,,Virrey Olaguer y Feliu,132,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/departamentos-a-estrenar-52815947.html
https://www.zonaprop.com.ar,$ 10.000.000,,Forum Alcorta,350,4,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/ideal-embajada.-departamento-alquiler-forum-alcorta-52801085.html
https://www.zonaprop.com.ar,$ 3.720.000,,"Migueletes al 1600, Piso 13°",192,3,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-3.html,https://www.zonaprop.com.ar/propiedades/departamento-belgrano-chico-52784162.html
