address,currency,price,expenses,size,bedrooms,bathrooms,listing_url,website,url,description,timestamp
"Juncal 2400, Piso 8
                ",$,500000,30000,54,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14892187,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Emplazado sobre calle juncal, a pasos av. Pueyrredon, frente al htal. Alemán, a 150 mts clínica suizo argentina, se destaca depto recientemente plastificado y pintado, con tres consultorios y recepción. Baño completo. Cocina independiente. Balcón corrido, con hermosa vista desde el octavo piso contrafrente. Edificio con muchos consultorios.",2024-01-08T17:47:17.685719
"SUCRE 1800, Piso 4
                ",USD,1800,205000,159,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-4-ambientes--12856400,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"""Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes"".-

Las medidas indicadas son",2024-01-08T17:47:17.687496
"J De Amenabar 1500, Piso 1
                ",$,990000,100000,96,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14252616,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"4 ambientes con dependencia. Al frente con balcón corrido. 2 baños completos, uno en suite. Se alquila amoblado. Patio propio. Lavadero. Muy luminoso. Calefacción central. Agua caliente individual. Guarda coche y baulera. Expensas $100.000. A dos cuadras de avenida cabildo. Se desocupa el 31/12.

Art.4 de la ley 5.859 y ley 5115 (ley de accesibilidad) de c.A.B.A. Accesible para personas con",2024-01-08T17:47:17.689245
"Guatemala 5100
                ",$,4900000,150000,197,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-4-ambientes--14963236,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Torre bella palermo !  Piso alto, gran emprendimiento de vanguardia, con amenities de alta gama, importante zócalo comercial . Excelente planta de 235 metros2 compuesta de 3 dormitorios en suite con dependencia de servicio, cocina y comedor diario, muy buen living comedor con salida a  balcón aterrazado con amplias visuales, interiores de placard completos, frentes laqueados, vestidor completo,",2024-01-08T17:47:17.690961
"3 De Febrero 1300, Piso 4
                ",USD,1300,180000,154,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--15111010,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Espectacular departamento en alquiler , en una de las calles mas lindas de belgrano , reciclados baños, cocina, aberturas con excelente calidad y gusto , super luminoso ! Gran living comedor . Con salida a balcón, placard de recepción. , Toilette hecho a nuevo , doble circulación, divina cocina , con isla , hecha a nuevo , lavadero aparte , hall de distribución, 3 dormitorios de buen tamaño ,",2024-01-08T17:47:17.692679
"Rodríguez Peña 1000, Piso 5
                ",$,800000,N/A,92,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--15111991,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Ubicado en barrio norte, sobre la calle rodríguez peña al 1000, entre av. Santa fe y m.T. De alvear. 
Piso con doble entrada. (Piso 5to) 
excelente ubicación. A 1 cuadra de av. Santa fe. Combinación con distintas líneas de colectivos. A 6 cuadras de la estación de subte línea d facultad de medicina. 

Características del edificio: 
cantidad de pisos: 10 
cantidad de departamentos: 10 
cantidad de",2024-01-08T17:47:17.694436
"Lafinur 3100
                ",USD,900,110000,100,3,3,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--15112199,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Excelente departamento en la mejor zona de palermo

superficie total: 100m2
3 dormitorios, 1 de ellos en suite
living--comedor
cocina
3 baños completos
1 toilette
balcón corrido
agua caliente individual
losa radiante individual
splits individuales",2024-01-08T17:47:17.696082
"Av Cnel Diaz 1500, Piso 7
                ",$,750000,93000,102,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--15122051,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Balcon corrido con protección para niños.
3 dormitorios + dependencia de servicio.
Piso , súper luminoso, orientación norte
palier privado, doble entrada ( ambas pentágono)
la mejor ubicación de barrio norte, a pasos boulevard charcas, alto palermo,  av santa fe y subte d.
Pisos de parquet en muy buen estado.
Lavadero independiente.
Para coordinar entrevista comunicarse telef con inmobiliaria",2024-01-08T17:47:17.697743
"AV LUIS MARIA CAMPOS 1100, Piso 9
                ",USD,900,N/A,78,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--14565781,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Excelente departamento-piso  en alquiler en el barrio de belgrano, con dos dormitorios con placares, tercer dormitorio ó escritorio integrándose al living apaisado con a.A. F/c, comedor, cocina con lavadero, dependencia de servicio anexada a la cocina funcionando como comedor diario. Puerta de servicio con ascensor,  terraza común del edificio,  espacio guardacoches. Super luminoso y alegre en el",2024-01-08T17:47:17.699291
"Chenault 1700
                ",USD,3000,188000,165,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--14943692,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Valor u$d 3.000 + gastos

único departamento en las cañitas con todos los ambientes con vista al polo! Listo para mudarse!

El departamento cuenta con:

- amplio living comedor con salida  balcón terraza

- cocina integrada al living mediante barra con espacio para lavavajillas (todo eléctrico)

- dependencia de servicio con baño o escritorio (también con vista al polo)

- toilette

- 3",2024-01-08T17:47:17.701018
"Av Santa Fe 3000
                ",$,950000,150000,129,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--14916887,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Venta o alquiler sin muebles con fin determinado. Piso de categoría sobre avenida santa fe al 3000. 
Valor alquiler  usd 950 mensuales.
Excelente planta, ideal familia con hijos por su doble circulación y doble acceso, principal y servicio. Palier privado, living / comedor sectorizado de cómodas dimensiones, con salida a disfrutable balcón sobre av. Santa fé. Amplia cocina comedor diario que",2024-01-08T17:47:17.702757
"La Pampa 2900
                ",USD,2500,235000,224,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-4-ambientes--12101463,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Alquiler con muebles u$d2.500 + gastos!

Único departamento en belgrano r con terraza con quincho propio y parrilla!

El departamento cuenta en primer planta con:

- amplio living comedor en forma de ¨l¨ con salida a balcón terraza al frente con orientación norte

- gran cocina con espacio para comedor diario y anafe y horno en isla

- 3 dormitorios; la master suite con doble vestidor

- otros 2",2024-01-08T17:47:17.704378
"Charcas al 2700
                ",$,800000,80700,100,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--14688103,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"4 ambientes al frente. Balcón corrido. Cocina completa. Baño y toilette. Amplios dormitorios con placares. Lavadero independiente. Refaccionado a nuevo. Excelente estado.- Apto profesional. Excelente ubicación a 1 cuadra de av. Santa fe. Cerca de subte. Cochera fija.
""Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los",2024-01-08T17:47:17.706073
"Avenida Libertador 2200
                ",,,300000,153,3,2,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--14732966,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Alquiler con muebles u$d2.000 + gastos

único departamento sobre av. Libertador con balcón terraza de 40m2!

El departamento cuenta con:

- amplio living comedor en forma de ¨l¨ con salida a balcón terraza al frente 

- 3 dormitorios, 2 de ellos con salida al balcón

- 2 baños completos (uno compartimentado)

- gran cocina con espacio para comedor diario

- toilette

- lavadero

- dependencia de",2024-01-08T17:47:17.707802
"Olazabal 1300
                ",USD,1300,N/A,110,3,N/A,https://www.argenprop.com/casa-en-alquiler-en-belgrano-chico-4-ambientes--14824278,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Casa sobre lote propio en esquina a refaccionar - para uso comercial ideal gastronomía - excelente ubicación, olazabal esquina migueletes, a una cuadra de av. Libertador .

Frery propiedades – mónica l. Destéfanis - cucicba 1145 / teléfonos de contacto ******** / ******** / ******** 

ley 5115: propiedad no apta para personas con movilidad reducida.-",2024-01-08T17:47:17.710677
"Virrey Olaguer y Feliu 2400, Piso 7
                ",$,700000,150000,N/A,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-4-ambientes--15186976,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Semipiso, al frente con balcón terraza, palier privado, lliving comedor, 3 dormitorios, baño compartimentado, cocina office, lavadero, dependencia de servicio. Espacio guardacoche, baulera.- Impecable, recien pintado y pisos plastificados.-

Información adicional: 
tipo de balcón: terraza
tipo de vista: vista ciudad
tipo de piso: parquet
monto de las expensas: 150000
tipo de expensas: no",2024-01-08T17:47:17.712596
"Palpa 2400, Piso 4
                ",$,800000,100000,85,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14928695,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Listo para ingresar, ajuste semestral por ipc o indíce de alquileres

muy lindo departamento en excelente zona
4to piso al frente en calle donde no pasan colectivos
liiving amplio y muy luminoso, con gran balcón de 6 metros de largo x 1,5

3 dormitorios amplios
baño completo y tiolette con ducha
lavadero independiente

cochera amplia, de fácil acceso, con apertura automática

no tiene aire",2024-01-08T17:47:17.714468
"JERÓNIMO SALGUERO 1300, Piso PB
                ",$,1000000,N/A,126,3,2,https://www.argenprop.com/ph-en-alquiler-en-palermo-viejo-6-ambientes--14963553,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Alquiler apto profesional,  para uso comercial, estudio u oficina - ph de 198 m2. (Sup. Cubierta + terraza) 6 ambientes, baño en suite, toilette y cocina equipada, 

impecable y muy luminoso ph de seis  ambientes, sin expensas:
superficie cubierta 126 m2. - Total: 223 m2. - En impecable estado -   apto  para personas con capacidades disminuidas - posibilidad de cochera en alquiler en la zona:

-",2024-01-08T17:47:17.716198
"Honduras 4100, Piso 1
                ",$,1100000,N/A,111,3,2,https://www.argenprop.com/ph-en-alquiler-en-palermo-viejo-4-ambientes--14963140,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Alquiler apto profesional,  para uso comercial, estudio u oficina - ph de 223 m2. (Sup. Cubierta + terraza) 4 ambientes, baño en suite, 2º baño completo y cocina equipada, 

impecable y muy luminoso ph de cuatro  ambientes, sin expensas:
superficie cubierta 100 m2. - Total: 223 m2. - En impecable estado - no apto  para personas con capacidades disminuidas - posibilidad de cochera en alquiler en la",2024-01-08T17:47:17.717917
"Demaria Al 4500
                ",USD,11000,500000,404,3,4,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--8348780,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,"Único piso en torre le parc demaria, piso altísimo con una vista excepcional a toda la ciudad y al rio.  Opción amoblado

alquiler 11.000 + gastos!

El departamento cuenta con:

- gran área de recepción con pisos de mármol boticcino.

- Espectacular living con salida a balcón terraza con vista al río(se ve hasta uruguay)

- comedor con vista al río

- gran playroom o sala de estar

- 3 amplias",2024-01-08T17:47:17.719616
"Arcos 2000
                ",USD,1800,120000,100,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--9026477,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-3,"Valor u$d1.800 + gastos (amoblado)

lindísimo departamento de 4 ambientes en la mejor zona de belgrano. Cercano a accesos de la ciudad, medios de transporte y restaurants.

La unidad cuenta con un amplio living comedor en forma de ¨l¨ con vista abierta y salida a balcón corrido hasta el dormitorio principal, 3 dormitorios (todos los dormitorios con vista abierta), 2 baños, uno de ellos completo y",2024-01-08T17:47:25.255629
"Alvear al 1400
                ",USD,7000,52000,290,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--11382453,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-3,"Excelente&nbsp; edificio de mario roberto alvarez de 27 pisos. Dos ascensores principales; ganó un premio anual de arquitectura en 1992, la torre y la otra están sobre un predio de 32 000 m2 
el piso alto con amplias vistas abiertas , super luminoso, persianas electricas , en impecable estado pisos de madera en todo el departamento aire acondicionado central , muy buenas aberturas ,",2024-01-08T17:47:25.257418
"Jerónimo Salguero 2200
                ",$,990000,N/A,110,3,2,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--14762953,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-3,"Libre ya ! Lo maneja leo

gran oportunidad!!  Palermo, limite con recoleta y barrio norte!


Palermo, 4 amb, 110m, salguero 2200, u$s 900 x mes, 

requisitos
garantia de capital federal, zona norte o seguro de caucion
recibo de sueldo o facturacion
contrato a 3 años

inmejorable departamento en alquiler en la calle salguero 2200, palermo. Capital federal. Este exclusivo inmueble cuenta con una",2024-01-08T17:47:25.258979
"Jerónimo Salguero 2200
                ",$,990000,N/A,110,3,2,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--14762939,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-3,"Libre ya ! Lo maneja leo

gran oportunidad!!  Palermo, limite con recoleta y barrio norte!


Palermo, 4 amb, 110m, salguero 2200, u$s 900 x mes, 

requisitos
garantia de capital federal, zona norte o seguro de caucion
recibo de sueldo o facturacion
contrato a 3 años

inmejorable departamento en alquiler en la calle salguero 2200, palermo. Capital federal. Este exclusivo inmueble cuenta con una",2024-01-08T17:47:25.260581
